书名,作品信息,得分
罪与罚,[俄] 陀思妥耶夫斯基 / 岳麟 / 上海译文出版社 / 2006-8 / 23.00元,9.3
叫魂,[美] 孔飞力 / 陈兼 / 生活·读书·新知三联书店 上海三联书店 / 2014-6 / 38.00元,9.2
离开的，留下的,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-10 / 62.00元,8.9
看见,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,8.8
也许你该找个人聊聊,[美]洛莉·戈特利布 / 张含笑 / 上海文化出版社 / 2021-7-28 / 68.00元,9.0
浪潮之巅,吴军 / 电子工业出版社 / 2011-8 / 55.00元,9.0
人生的枷锁,[英] 毛姆 / 张柏然 / 上海译文出版社 / 2007-3 / 32.00元,9.1
爱你就像爱生命,王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元,8.8
桶川跟踪狂杀人事件,[日] 清水洁 / 王华懋 / 四川人民出版社 / 2021-2 / 45.00元,9.0
失明症漫记,[葡] 若泽·萨拉马戈 / 范维信 / 南海出版公司 / 2014-2 / 29.50元,9.1
筚路维艰,萧冬连 / 社会科学文献出版社 / 2014-10-1 / 45.00元,9.5
巨人的陨落,[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / CNY 129.80,8.9
我们仨,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,8.8
遥远的向日葵地,李娟 / 花城出版社 / 2017-11 / 38.00元,9.1
受戒,汪曾祺 / 漓江出版社 / 1987-10 / 3.95元,9.3
看不见的城市,[意] 伊塔洛·卡尔维诺 / 张密 / 译林出版社 / 2012-4 / 25.00元,9.0
教父,[美]马里奥·普佐 / 周汉林 / 译林出版社 / 1997-8 / 23.30元,9.0
一间只属于自己的房间,[英] 弗吉尼亚·伍尔夫 / 周颖琪 / 天津人民出版社 / 2019-10 / 45.00元,9.2
海子的诗,海子 / 人民文学出版社 / 1999-04 / 15.40,9.0
人生的智慧,(德)叔本华 / 韦启昌 / 上海人民出版社 / 2008-10-01 / 28.00元,9.2
飞鸟集,[印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元,8.9
茶馆,老舍 / 人民文学出版社 / 2002-1 / 9.80元,9.2
少年凯歌,人民文学出版社 / 2001-6 / 10.00元,9.3
